question_id,db_id,p_t,r_t,f1_t,p_c,r_c,f1_c
1,SBODemoUS-Reports,0.2,1.0,0.33333333333333337,0.16666666666666666,0.3333333333333333,0.2222222222222222
2,NTSB,1.0,1.0,1.0,0.3333333333333333,1.0,0.5
3,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
4,ASIS_20161108_HerpInv_Database,0.5,0.5,0.5,0.25,0.25,0.25
5,NTSB,0.5,1.0,0.6666666666666666,0.0,1.0,0.0
6,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,0.6,0.7499999999999999
7,PacificIslandLandbirds,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
8,CratersWildlifeObservations,1.0,1.0,1.0,0.6666666666666666,1.0,0.8
9,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,1.0,1.0
10,NYSED_SRC2022,1.0,1.0,1.0,0.375,1.0,0.5454545454545454
11,CratersWildlifeObservations,1.0,1.0,1.0,1.0,1.0,1.0
12,SBODemoUS-General,0.1,0.5,0.16666666666666669,0.07142857142857142,0.2,0.10526315789473682
13,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
14,NorthernPlainsFireManagement,1.0,0.5,0.6666666666666666,0.5,0.3333333333333333,0.4
15,KlamathInvasiveSpecies,1.0,1.0,1.0,1.0,0.5,0.6666666666666666
16,NYSED_SRC2022,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.4
17,ASIS_20161108_HerpInv_Database,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5
18,NTSB,0.07692307692307693,1.0,0.14285714285714288,1.0,1.0,1.0
19,KlamathInvasiveSpecies,0.0,0.0,0.0,0.0,0.0,0.0
20,KlamathInvasiveSpecies,0.16666666666666666,1.0,0.2857142857142857,0.1111111111111111,1.0,0.19999999999999998
21,PacificIslandLandbirds,0.375,0.75,0.5,0.08888888888888889,0.5714285714285714,0.15384615384615385
22,SBODemoUS-Finance,0.0,0.0,0.0,0.0,0.0,0.0
23,CratersWildlifeObservations,1.0,1.0,1.0,1.0,0.75,0.8571428571428571
