question_id,db_id,p_t,r_t,f1_t,p_c,r_c,f1_c
1,SBODemoUS-Reports,0.0,0.0,0.0,0.0,0.0,0.0
2,NTSB,1.0,1.0,1.0,0.0,0.0,0.0
3,NTSB,0.5,1.0,0.6666666666666666,0.18181818181818182,1.0,0.3076923076923077
4,ASIS_20161108_HerpInv_Database,1.0,0.5,0.6666666666666666,1.0,0.25,0.4
5,NTSB,0.0,0.0,0.0,1.0,1.0,1.0
6,NorthernPlainsFireManagement,0.5,0.5,0.5,0.25,0.4,0.3076923076923077
7,PacificIslandLandbirds,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
8,CratersWildlifeObservations,1.0,1.0,1.0,1.0,1.0,1.0
9,NorthernPlainsFireManagement,0.0,0.0,0.0,0.0,0.0,0.0
10,NYSED_SRC2022,0.5,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5714285714285715
11,CratersWildlifeObservations,1.0,1.0,1.0,1.0,1.0,1.0
12,SBODemoUS-General,0.0,0.0,0.0,0.0,0.0,0.0
13,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
14,NorthernPlainsFireManagement,0.5,0.5,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222
15,KlamathInvasiveSpecies,0.0,0.0,0.0,0.0,0.0,0.0
16,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
17,ASIS_20161108_HerpInv_Database,1.0,0.5,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.2222222222222222
18,NTSB,0.5,1.0,0.6666666666666666,0.04878048780487805,1.0,0.09302325581395349
19,KlamathInvasiveSpecies,0.0,0.0,0.0,0.0,0.0,0.0
20,KlamathInvasiveSpecies,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.5,0.25
21,PacificIslandLandbirds,1.0,0.5,0.6666666666666666,0.5,0.14285714285714285,0.22222222222222224
22,SBODemoUS-Finance,0.0,0.0,0.0,0.0,0.0,0.0
23,CratersWildlifeObservations,1.0,1.0,1.0,1.0,0.75,0.8571428571428571
24,CratersWildlifeObservations,0.5,1.0,0.6666666666666666,0.3333333333333333,0.5,0.4
25,NYSED_SRC2022,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
26,NTSB,1.0,0.5,0.6666666666666666,0.17647058823529413,0.5,0.2608695652173913
27,SBODemoUS-Service,1.0,0.5,0.6666666666666666,0.0,0.0,0.0
28,PacificIslandLandbirds,1.0,0.5,0.6666666666666666,1.0,0.2,0.33333333333333337
29,NTSB,1.0,0.3333333333333333,0.5,0.2857142857142857,0.4,0.3333333333333333
30,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,0.2857142857142857,1.0,0.4444444444444445
31,SBODemoUS-General,0.0,0.0,0.0,0.0,0.0,0.0
32,SBODemoUS-Human Resources,0.0,0.0,0.0,0.0,0.0,0.0
33,NTSB,0.5,1.0,0.6666666666666666,0.024390243902439025,0.5,0.046511627906976744
34,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
35,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
36,NorthernPlainsFireManagement,1.0,1.0,1.0,0.3333333333333333,1.0,0.5
37,NorthernPlainsFireManagement,1.0,1.0,1.0,0.6666666666666666,0.5,0.5714285714285715
38,SBODemoUS-Human Resources,0.5,0.6666666666666666,0.5714285714285715,0.26666666666666666,0.4,0.32
39,ATBI,0.0,0.0,0.0,0.0,0.0,0.0
40,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
41,SBODemoUS-Banking,0.0,0.0,0.0,0.0,0.0,0.0
42,SBODemoUS-Sales Opportunities,0.0,0.0,0.0,0.0,0.0,0.0
43,ASIS_20161108_HerpInv_Database,1.0,0.3333333333333333,0.5,0.0,0.0,0.0
44,NTSB,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8
45,NorthernPlainsFireManagement,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
46,NorthernPlainsFireManagement,0.5,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715
47,NYSED_SRC2022,1.0,1.0,1.0,0.17647058823529413,0.6,0.2727272727272727
48,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,0.05,1.0,0.09523809523809523
49,SBODemoUS-Reports,0.0,0.0,0.0,0.0,0.0,0.0
50,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5
51,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
52,KlamathInvasiveSpecies,1.0,1.0,1.0,0.3333333333333333,1.0,0.5
53,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
54,NorthernPlainsFireManagement,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666
55,NTSB,1.0,0.5,0.6666666666666666,0.21428571428571427,0.5,0.3
56,NYSED_SRC2022,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
57,SBODemoUS-Business Partners,0.0,0.0,0.0,0.0,0.0,0.0
58,ATBI,0.0,0.0,0.0,0.0,0.0,0.0
59,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
60,PacificIslandLandbirds,1.0,0.5,0.6666666666666666,0.5,0.2,0.28571428571428575
61,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
62,SBODemoUS-Service,0.0,0.0,0.0,0.0,0.0,0.0
63,PacificIslandLandbirds,1.0,0.5,0.6666666666666666,1.0,0.6666666666666666,0.8
64,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
