experiment,run_id,label,format,table_score,column_score,leaderboard,model,r,alpha,dropout,lr,scheduler,epochs,max_steps,target_modules
augmented_final_experiments_rf,5,Q5_r4_attn_lr1e5_cosine_e3,basic,0.5695,0.3802,0.4749,Qwen/Qwen2.5-1.5B-Instruct,4,8,0.1,1e-05,cosine,3,,q_proj+k_proj+v_proj+o_proj
augmented_final_experiments_rf,1,P1_r4_attn_lr1e5_e2,basic,0.5695,0.3786,0.4741,Qwen/Qwen2.5-1.5B-Instruct,4,8,0.1,1e-05,linear,2,,q_proj+k_proj+v_proj+o_proj
augmented_final_experiments_rf,2,P2_r4_attn_lr1e5_e3,basic,0.5574,0.3901,0.4738,Qwen/Qwen2.5-1.5B-Instruct,4,8,0.1,1e-05,linear,3,,q_proj+k_proj+v_proj+o_proj
augmented_final_experiments_rf,4,Q1_r4_attn_lr2e5_e2,basic,0.5581,0.3882,0.4732,Qwen/Qwen2.5-1.5B-Instruct,4,8,0.1,2e-05,linear,2,,q_proj+k_proj+v_proj+o_proj
augmented_final_experiments_rf,3,P6_r4_attn_lr5e6_e2,basic,0.5525,0.37,0.4612,Qwen/Qwen2.5-1.5B-Instruct,4,8,0.1,5e-06,linear,2,,q_proj+k_proj+v_proj+o_proj
augmented_qwen3_1.7b_top3_experiment_rf,3,P6_r4_attn_lr5e6_e2,basic,0.5409,0.3702,0.4555,Qwen/Qwen3-1.7B,4,8,0.1,1e-05,linear,3,,q_proj+k_proj+v_proj+o_proj
augmented_qwen3_1.7b_top3_experiment_rf,1,P1_r4_attn_lr1e5_e2,basic,0.535,0.3599,0.4474,Qwen/Qwen3-1.7B,4,8,0.1,1e-05,cosine,3,,q_proj+k_proj+v_proj+o_proj
augmented_qwen3_1.7b_top3_experiment_rf,2,P2_r4_attn_lr1e5_e3,basic,0.514,0.3593,0.4366,Qwen/Qwen3-1.7B,4,8,0.1,1e-05,linear,2,,q_proj+k_proj+v_proj+o_proj
experkrj_40,12,,,0.4978,0.3154,0.4066,Qwen/Qwen2.5-1.5B-Instruct,4,8,0.1,2e-05,linear,,120,q_proj+k_proj+v_proj+o_proj
experkrj_40,7,,,0.4361,0.2577,0.3469,Qwen/Qwen2.5-1.5B-Instruct,8,16,0.1,5e-05,linear,,120,q_proj+k_proj+v_proj+o_proj+gate_proj+up_proj+down_proj
augmented_final_experiments_rf,6,R9_pkfk_r8_attn_lr2e5_e3,pkfk,0.4609,0.0409,0.2509,Qwen/Qwen2.5-1.5B-Instruct,4,8,0.1,1e-05,linear,2,,q_proj+k_proj+v_proj+o_proj
experkrj_40,8,,,0.3297,0.1579,0.2438,Qwen/Qwen2.5-1.5B-Instruct,16,32,0.1,0.0001,linear,,120,q_proj+k_proj+v_proj+o_proj
augmented_smollm2_top3_experiment_rf,3,,,0.2735,0.1585,0.216,HuggingFaceTB/SmolLM2-1.7B-Instruct,4,8,0.1,1e-05,linear,3,,q_proj+k_proj+v_proj+o_proj
augmented_smollm2_top3_experiment_rf,2,,,0.2502,0.1491,0.1996,HuggingFaceTB/SmolLM2-1.7B-Instruct,4,8,0.1,1e-05,linear,2,,q_proj+k_proj+v_proj+o_proj
augmented_smollm2_top3_experiment_rf,1,,,0.2568,0.142,0.1994,HuggingFaceTB/SmolLM2-1.7B-Instruct,4,8,0.1,1e-05,cosine,3,,q_proj+k_proj+v_proj+o_proj
experkrj_40,10,,,0.2382,0.1586,0.1984,Qwen/Qwen2.5-1.5B-Instruct,8,16,0.1,0.0001,linear,,150,q_proj+k_proj+v_proj+o_proj+gate_proj+up_proj+down_proj
experkrj_40,3,,,0.2448,0.1279,0.1863,Qwen/Qwen2.5-1.5B-Instruct,8,16,0.1,0.0001,linear,,120,q_proj+k_proj+v_proj+o_proj+gate_proj+up_proj+down_proj
experkrj_40,2,,,0.2246,0.1343,0.1795,Qwen/Qwen2.5-1.5B-Instruct,8,16,0.1,0.0001,linear,,120,q_proj+k_proj+v_proj+o_proj+gate_proj+up_proj+down_proj
experkrj_40,1,,,0.18,0.1098,0.1449,Qwen/Qwen2.5-1.5B-Instruct,8,16,0.1,0.0001,linear,,120,q_proj+k_proj+v_proj+o_proj+gate_proj+up_proj+down_proj
augmented_final_experiments_rf,7,R10_sorted_r8_attn_lr2e5_e3,sorted,0.2377,0.0452,0.1414,Qwen/Qwen2.5-1.5B-Instruct,4,8,0.1,1e-05,linear,2,,q_proj+k_proj+v_proj+o_proj
experkrj_40,14,,,0.1557,0.0848,0.1202,Qwen/Qwen2.5-1.5B-Instruct,16,32,0.1,0.0001,linear,,200,q_proj+k_proj+v_proj+o_proj+gate_proj+up_proj+down_proj
experkrj_40,9,,,0.1328,0.075,0.1039,Qwen/Qwen2.5-1.5B-Instruct,16,32,0.1,0.0001,linear,,150,q_proj+k_proj+v_proj+o_proj+gate_proj+up_proj+down_proj
experkrj_40,13,,,0.057,0.0579,0.0574,Qwen/Qwen2.5-1.5B-Instruct,8,16,0.1,0.0001,linear,,200,q_proj+k_proj+v_proj+o_proj+gate_proj+up_proj+down_proj
experkrj_40,6,,,0.0542,0.0431,0.0486,Qwen/Qwen2.5-1.5B-Instruct,8,16,0.1,0.0002,linear,,120,q_proj+k_proj+v_proj+o_proj+gate_proj+up_proj+down_proj
experkrj_40,4,,,0.0495,0.0419,0.0457,Qwen/Qwen2.5-1.5B-Instruct,16,32,0.1,0.0001,linear,,120,q_proj+k_proj+v_proj+o_proj+gate_proj+up_proj+down_proj
experkrj_40,5,,,0.0539,0.0323,0.0431,Qwen/Qwen2.5-1.5B-Instruct,32,64,0.1,0.0001,linear,,120,q_proj+k_proj+v_proj+o_proj+gate_proj+up_proj+down_proj
experkrj_40,11,,,0.0462,0.0318,0.039,Qwen/Qwen2.5-1.5B-Instruct,16,32,0.1,0.0001,linear,,150,q_proj+k_proj+v_proj+o_proj+gate_proj+up_proj+down_proj
